,Date,Last Price
0,1983-03-30,29.4
1,1983-03-31,29.29
2,1983-04-04,29.44
3,1983-04-05,29.71
4,1983-04-06,29.9
5,1983-04-07,30.17
6,1983-04-08,30.38
7,1983-04-11,30.26
8,1983-04-12,30.83
9,1983-04-13,30.82
10,1983-04-14,30.69
11,1983-04-15,30.48
12,1983-04-18,30.75
13,1983-04-19,30.75
14,1983-04-20,30.7
15,1983-04-21,30.68
16,1983-04-22,30.75
17,1983-04-25,30.84
18,1983-04-26,30.71
19,1983-04-27,30.78
20,1983-04-28,30.74
21,1983-04-29,30.63
22,1983-05-02,30.61
23,1983-05-03,30.5
24,1983-05-04,30.42
25,1983-05-05,30.2
26,1983-05-06,30.45
27,1983-05-09,30.1
28,1983-05-10,30.31
29,1983-05-11,29.97
30,1983-05-12,29.72
31,1983-05-13,29.8
32,1983-05-16,30.12
33,1983-05-17,29.91
34,1983-05-18,29.75
35,1983-05-19,29.95
36,1983-05-20,30.3
37,1983-05-23,30.27
38,1983-05-24,30.05
39,1983-05-25,30.25
40,1983-05-26,30.31
41,1983-05-27,30.19
42,1983-05-31,30.25
43,1983-06-01,30.33
44,1983-06-02,30.4
45,1983-06-03,30.36
46,1983-06-06,30.35
47,1983-06-07,30.59
48,1983-06-08,30.6
49,1983-06-09,30.49
50,1983-06-10,30.77
51,1983-06-13,31.0
52,1983-06-14,31.0
53,1983-06-15,31.3
54,1983-06-16,31.6
55,1983-06-17,31.4
56,1983-06-20,31.42
57,1983-06-21,31.18
58,1983-06-22,30.95
59,1983-06-23,31.1
60,1983-06-24,31.2
61,1983-06-27,31.2
62,1983-06-28,31.24
63,1983-06-29,31.2
64,1983-06-30,31.38
65,1983-07-01,31.35
66,1983-07-05,31.27
67,1983-07-06,31.2
68,1983-07-07,31.4
69,1983-07-08,31.4
70,1983-07-11,31.64
71,1983-07-12,31.72
72,1983-07-13,31.87
73,1983-07-14,31.85
74,1983-07-15,31.7
75,1983-07-18,31.7
76,1983-07-19,31.62
77,1983-07-20,31.65
78,1983-07-21,31.51
79,1983-07-22,31.46
80,1983-07-25,31.4
81,1983-07-26,31.53
82,1983-07-27,31.73
83,1983-07-28,31.82
84,1983-07-29,32.0
85,1983-08-01,32.12
86,1983-08-02,32.2
87,1983-08-03,32.2
88,1983-08-04,32.14
89,1983-08-05,32.15
90,1983-08-08,32.05
91,1983-08-09,31.94
92,1983-08-10,32.14
93,1983-08-11,31.95
94,1983-08-12,31.99
95,1983-08-15,32.0
96,1983-08-16,31.98
97,1983-08-17,31.87
98,1983-08-18,31.72
99,1983-08-22,31.53
100,1983-08-23,31.65
101,1983-08-24,31.57
102,1983-08-25,31.73
103,1983-08-26,31.8
104,1983-08-29,31.66
105,1983-08-30,31.68
106,1983-08-31,31.59
107,1983-09-01,31.6
108,1983-09-02,31.57
109,1983-09-06,31.36
110,1983-09-07,31.38
111,1983-09-08,31.34
112,1983-09-09,31.21
113,1983-09-12,31.15
114,1983-09-13,31.23
115,1983-09-14,31.4
116,1983-09-15,31.48
117,1983-09-16,31.55
118,1983-09-19,31.45
119,1983-09-20,31.33
120,1983-09-21,31.39
121,1983-09-22,31.3
122,1983-09-23,31.3
123,1983-09-26,31.22
124,1983-09-27,31.11
125,1983-09-28,30.76
126,1983-09-29,30.6
127,1983-09-30,30.36
128,1983-10-03,29.92
129,1983-10-04,30.18
130,1983-10-05,30.2
131,1983-10-06,30.26
132,1983-10-07,30.47
133,1983-10-10,30.85
134,1983-10-11,30.57
135,1983-10-12,30.52
136,1983-10-13,30.66
137,1983-10-14,30.55
138,1983-10-17,30.61
139,1983-10-18,30.68
140,1983-10-19,30.32
141,1983-10-20,30.3
142,1983-10-21,30.33
143,1983-10-24,30.44
144,1983-10-25,30.43
145,1983-10-26,30.23
146,1983-10-27,30.31
147,1983-10-28,30.26
148,1983-10-31,30.37
149,1983-11-01,30.38
150,1983-11-02,30.35
151,1983-11-03,30.42
152,1983-11-04,30.46
153,1983-11-07,30.39
154,1983-11-08,30.38
155,1983-11-09,30.38
156,1983-11-10,30.26
157,1983-11-11,30.14
158,1983-11-14,30.15
159,1983-11-15,30.17
160,1983-11-16,29.95
161,1983-11-21,29.14
162,1983-11-22,29.04
163,1983-11-23,29.19
164,1983-11-28,29.69
165,1983-11-29,29.39
166,1983-11-30,29.23
167,1983-12-01,29.28
168,1983-12-02,29.38
169,1983-12-05,29.3
170,1983-12-06,29.29
171,1983-12-07,29.06
172,1983-12-08,29.27
173,1983-12-09,29.31
174,1983-12-12,29.27
175,1983-12-13,29.21
176,1983-12-14,29.28
177,1983-12-15,29.11
178,1983-12-16,28.57
179,1983-12-19,28.38
180,1983-12-20,28.76
181,1983-12-21,28.88
182,1983-12-22,29.08
183,1983-12-23,29.44
184,1983-12-27,29.85
185,1983-12-28,29.98
186,1983-12-29,29.66
187,1983-12-30,29.6
188,1984-01-03,29.4
189,1984-01-04,29.5
190,1984-01-05,29.3
191,1984-01-06,29.18
192,1984-01-09,29.47
193,1984-01-10,29.45
194,1984-01-11,29.46
195,1984-01-12,29.51
196,1984-01-13,29.58
197,1984-01-16,29.72
198,1984-01-17,29.57
199,1984-01-18,29.79
200,1984-01-23,29.52
201,1984-01-24,29.7
202,1984-01-25,29.78
203,1984-01-26,29.95
204,1984-01-27,30.14
205,1984-01-30,29.89
206,1984-01-31,29.98
207,1984-02-01,30.3
208,1984-02-02,30.19
209,1984-02-03,30.11
210,1984-02-06,30.16
211,1984-02-07,30.04
212,1984-02-08,30.04
213,1984-02-09,29.83
214,1984-02-10,29.83
215,1984-02-13,29.63
216,1984-02-14,29.74
217,1984-02-15,29.83
218,1984-02-16,29.91
219,1984-02-21,29.79
220,1984-02-22,29.79
221,1984-02-23,29.92
222,1984-02-24,30.1
223,1984-02-27,30.79
224,1984-02-28,30.45
225,1984-02-29,30.55
226,1984-03-01,30.73
227,1984-03-02,30.7
228,1984-03-05,30.78
