,Date,PX_LAST
0,1986-04-07,121.02
1,1986-04-11,117.41
2,1986-04-21,113.51
3,1986-04-24,113.53
4,1986-04-29,112.2
5,1986-04-30,113.08
6,1986-05-02,113.64
7,1986-05-15,112.25
8,1986-06-10,113.5
9,1986-06-12,113.4
10,1986-06-19,114.99
11,1986-08-18,108.7
12,1986-08-27,108.54
13,1986-09-04,107.37
14,1986-09-08,109.83
15,1986-09-09,109.15
16,1986-09-10,108.92
17,1986-09-11,100.1
18,1986-09-12,109.35
19,1986-09-15,108.34
20,1986-09-16,109.0
21,1986-09-17,108.25
22,1986-09-18,106.5
23,1986-09-19,106.4
24,1986-09-22,108.3
25,1986-09-23,109.22
26,1986-09-24,109.09
27,1986-09-25,109.15
28,1986-09-26,108.95
29,1986-09-29,108.23
30,1986-09-30,108.48
31,1986-10-01,108.16
32,1986-10-02,107.6
33,1986-10-03,107.73
34,1986-10-06,107.13
35,1986-10-07,107.51
36,1986-10-08,107.34
37,1986-10-09,107.61
38,1986-10-10,107.01
39,1986-10-13,106.7
40,1986-10-14,106.28
41,1986-10-15,106.33
42,1986-10-16,106.28
43,1986-10-17,106.34
44,1986-10-20,107.25
45,1986-10-21,107.12
46,1986-10-22,107.17
47,1986-10-23,108.2
48,1986-10-24,109.75
49,1986-10-27,109.73
50,1986-10-28,109.16
51,1986-10-29,108.9
52,1986-10-30,110.02
53,1986-10-31,110.4
54,1986-11-03,110.5
55,1986-11-04,110.24
56,1986-11-05,110.31
57,1986-11-06,110.13
58,1986-11-07,110.0
59,1986-11-10,109.2
60,1986-11-11,108.96
61,1986-11-12,108.49
62,1986-11-13,108.29
63,1986-11-14,108.07
64,1986-11-17,108.46
65,1986-11-18,108.48
66,1986-11-19,108.55
67,1986-11-20,108.47
68,1986-11-21,109.08
69,1986-11-24,108.86
70,1986-11-25,107.5
71,1986-11-26,107.5
72,1986-11-28,106.85
73,1986-12-01,106.69
74,1986-12-02,106.9
75,1986-12-03,106.66
76,1986-12-04,107.73
77,1986-12-05,108.25
78,1986-12-08,108.31
79,1986-12-09,108.62
80,1986-12-10,108.19
81,1986-12-11,108.5
82,1986-12-12,108.38
83,1986-12-15,108.49
84,1986-12-16,108.6
85,1986-12-17,108.49
86,1986-12-18,108.16
87,1986-12-19,107.8
88,1986-12-22,106.93
89,1986-12-23,106.35
90,1986-12-24,106.28
91,1986-12-29,105.3
92,1986-12-30,105.5
93,1986-12-31,104.24
94,1987-01-05,104.84
95,1987-01-06,104.28
96,1987-01-07,104.78
97,1987-01-08,104.22
98,1987-01-09,104.43
99,1987-01-12,103.35
100,1987-01-13,102.4
101,1987-01-14,100.73
102,1987-01-15,100.96
103,1987-01-16,100.99
104,1987-01-19,99.65
105,1987-01-20,100.81
106,1987-01-21,100.91
107,1987-01-22,99.84
108,1987-01-23,100.01
109,1987-01-26,100.01
110,1987-01-27,98.8
111,1987-01-28,98.35
112,1987-01-29,98.59
113,1987-01-30,100.47
114,1987-02-02,99.52
115,1987-02-03,99.07
116,1987-02-04,99.38
117,1987-02-05,100.32
118,1987-02-06,101.31
119,1987-02-09,99.02
120,1987-02-10,99.58
121,1987-02-11,99.66
122,1987-02-12,100.06
123,1987-02-13,99.76
124,1987-02-17,99.48
125,1987-02-18,99.89
126,1987-02-19,99.87
127,1987-02-20,99.76
128,1987-02-23,99.95
129,1987-02-24,99.85
130,1987-02-25,99.56
131,1987-02-26,99.4
132,1987-02-27,99.5
