,Date,Last Price
0,1988-12-06,91.13
1,1988-12-07,91.1
2,1988-12-08,91.08
3,1988-12-09,91.01
4,1988-12-12,90.97
5,1988-12-15,90.8
6,1988-12-16,90.81
7,1988-12-19,90.86
8,1988-12-20,90.88
9,1988-12-21,90.93
10,1988-12-22,90.95
11,1988-12-23,90.96
12,1988-12-27,90.9
13,1988-12-28,90.83
14,1988-12-29,90.86
15,1988-12-30,90.91
16,1989-01-03,90.75
17,1989-01-04,90.63
18,1989-01-05,90.61
19,1989-01-06,90.58
20,1989-01-09,90.61
21,1989-01-10,90.62
22,1989-01-11,90.61
23,1989-01-12,90.66
24,1989-01-13,90.74
25,1989-01-16,90.74
26,1989-01-17,90.68
27,1989-01-18,90.75
28,1989-01-19,90.77
29,1989-01-20,90.75
30,1989-01-23,90.77
31,1989-01-24,90.8
32,1989-01-25,90.69
33,1989-01-26,90.65
34,1989-01-27,90.7
35,1989-01-30,90.7
36,1989-01-31,90.68
37,1989-02-01,90.67
38,1989-02-02,90.63
39,1989-02-03,90.59
40,1989-02-06,90.52
41,1989-02-07,90.53
42,1989-02-08,90.48
43,1989-02-09,90.48
44,1989-02-10,90.37
45,1989-02-13,90.33
46,1989-02-14,90.29
47,1989-02-15,90.26
48,1989-02-16,90.25
49,1989-02-17,90.29
50,1989-02-21,90.25
51,1989-02-22,90.18
52,1989-02-23,89.98
53,1989-02-24,89.91
54,1989-02-27,89.85
55,1989-02-28,89.86
56,1989-03-01,89.76
57,1989-03-02,89.81
58,1989-03-03,89.86
59,1989-03-06,89.93
60,1989-03-07,89.88
61,1989-03-08,89.91
62,1989-03-09,89.86
63,1989-03-10,89.66
64,1989-03-13,89.66
65,1989-03-14,89.69
66,1989-03-15,89.7
67,1989-03-16,89.73
68,1989-03-17,89.33
69,1989-03-20,89.23
70,1989-03-21,89.25
71,1989-03-22,89.44
72,1989-03-23,89.46
73,1989-03-27,89.39
74,1989-03-28,89.42
75,1989-03-29,89.51
76,1989-03-30,89.53
77,1989-03-31,89.63
78,1989-04-03,89.72
79,1989-04-04,89.8
80,1989-04-05,89.8
81,1989-04-06,89.74
82,1989-04-07,89.74
83,1989-04-10,89.71
84,1989-04-11,89.72
85,1989-04-12,89.71
86,1989-04-13,89.65
87,1989-04-14,90.01
88,1989-04-17,89.95
89,1989-04-18,90.18
90,1989-04-19,90.18
91,1989-04-20,89.97
