,Date,Last Price
0,1990-04-03,1.635
1,1990-04-04,1.62
2,1990-04-05,1.615
3,1990-04-06,1.625
4,1990-04-09,1.637
5,1990-04-10,1.62
6,1990-04-11,1.605
7,1990-04-12,1.598
8,1990-04-16,1.598
9,1990-04-17,1.585
10,1990-04-18,1.583
11,1990-04-19,1.57
12,1990-04-20,1.543
13,1990-04-23,1.555
14,1990-04-24,1.555
15,1990-04-25,1.552
16,1990-04-26,1.558
17,1990-04-27,1.555
18,1990-04-30,1.565
19,1990-05-01,1.565
20,1990-05-02,1.575
21,1990-05-03,1.575
22,1990-05-04,1.575
23,1990-05-07,1.58
24,1990-05-08,1.583
25,1990-05-09,1.576
26,1990-05-10,1.574
27,1990-05-11,1.565
28,1990-05-14,1.556
29,1990-05-15,1.553
30,1990-05-16,1.57
31,1990-05-17,1.57
32,1990-05-18,1.554
33,1990-05-21,1.557
34,1990-05-22,1.613
35,1990-05-23,1.602
36,1990-05-24,1.6
37,1990-05-25,1.592
38,1990-05-29,1.585
39,1990-05-30,1.585
40,1990-05-31,1.59
41,1990-06-01,1.585
42,1990-06-04,1.582
43,1990-06-05,1.567
44,1990-06-06,1.56
45,1990-06-07,1.573
46,1990-06-08,1.575
47,1990-06-11,1.572
48,1990-06-12,1.558
49,1990-06-13,1.545
50,1990-06-14,1.547
51,1990-06-15,1.547
52,1990-06-18,1.54
53,1990-06-19,1.536
54,1990-06-20,1.51
55,1990-06-21,1.528
56,1990-06-22,1.522
57,1990-06-25,1.516
58,1990-06-26,1.507
59,1990-06-27,1.5
60,1990-06-28,1.515
61,1990-06-29,1.519
62,1990-07-02,1.519
63,1990-07-03,1.525
64,1990-07-05,1.514
65,1990-07-06,1.498
66,1990-07-09,1.493
67,1990-07-10,1.5
68,1990-07-11,1.5
69,1990-07-12,1.502
70,1990-07-13,1.5
71,1990-07-16,1.495
72,1990-07-17,1.462
73,1990-07-18,1.45
74,1990-07-19,1.445
75,1990-07-20,1.426
76,1990-07-23,1.46
77,1990-07-24,1.44
78,1990-07-25,1.44
79,1990-07-26,1.435
80,1990-07-27,1.439
81,1990-07-30,1.43
82,1990-07-31,1.411
83,1990-08-01,1.402
84,1990-08-02,1.432
85,1990-08-03,1.51
86,1990-08-06,1.588
87,1990-08-07,1.477
88,1990-08-08,1.475
89,1990-08-09,1.47
90,1990-08-10,1.49
91,1990-08-13,1.465
92,1990-08-14,1.448
93,1990-08-15,1.428
94,1990-08-16,1.43
95,1990-08-17,1.44
96,1990-08-20,1.417
97,1990-08-21,1.42
98,1990-08-22,1.428
99,1990-08-23,1.545
100,1990-08-24,1.525
101,1990-08-27,1.502
102,1990-08-28,1.5
103,1990-08-29,1.505
104,1990-08-30,1.537
105,1990-08-31,1.5
106,1990-09-04,1.51
107,1990-09-05,1.514
108,1990-09-06,1.53
109,1990-09-07,1.51
110,1990-09-10,1.525
111,1990-09-11,1.525
112,1990-09-12,1.543
113,1990-09-13,1.54
114,1990-09-14,1.52
115,1990-09-17,1.537
116,1990-09-18,1.56
117,1990-09-19,1.555
118,1990-09-20,1.846
119,1990-09-21,1.872
120,1990-09-24,1.936
121,1990-09-25,1.93
122,1990-09-26,1.945
123,1990-09-27,1.94
124,1990-09-28,1.935
125,1990-10-01,1.909
126,1990-10-02,1.88
127,1990-10-03,1.915
128,1990-10-04,1.898
129,1990-10-05,1.935
130,1990-10-08,1.93
131,1990-10-09,1.94
132,1990-10-10,1.94
133,1990-10-11,1.96
134,1990-10-12,1.95
135,1990-10-15,1.9
136,1990-10-16,1.91
137,1990-10-17,1.9
138,1990-10-18,1.89
139,1990-10-19,1.9
140,1990-10-22,1.97
141,1990-10-23,2.52
142,1990-10-24,2.44
143,1990-10-25,2.446
144,1990-10-26,2.448
145,1990-10-29,2.434
146,1990-10-30,2.408
147,1990-10-31,2.36
148,1990-11-01,2.35
149,1990-11-02,2.358
150,1990-11-05,2.385
151,1990-11-06,2.383
152,1990-11-07,2.45
153,1990-11-08,2.435
154,1990-11-09,2.429
155,1990-11-12,2.41
156,1990-11-13,2.411
157,1990-11-14,2.428
158,1990-11-15,2.4
159,1990-11-16,2.335
160,1990-11-19,2.35
161,1990-11-20,2.38
162,1990-11-21,2.61
163,1990-11-23,2.605
164,1990-11-26,2.618
165,1990-11-27,2.54
166,1990-11-28,2.505
167,1990-11-29,2.49
168,1990-11-30,2.445
169,1990-12-03,2.475
170,1990-12-04,2.44
171,1990-12-05,2.402
172,1990-12-06,2.351
173,1990-12-07,2.35
174,1990-12-10,2.355
175,1990-12-11,2.285
176,1990-12-12,2.204
177,1990-12-13,2.22
178,1990-12-14,2.262
179,1990-12-17,2.175
180,1990-12-18,2.046
181,1990-12-19,2.046
182,1990-12-20,1.92
183,1990-12-21,1.962
184,1990-12-24,1.962
185,1990-12-26,1.999
