,Date,Last Price
0,1975-11-13,4.39
1,1975-11-14,4.396
2,1975-11-17,4.3
3,1975-11-18,4.317
4,1975-11-19,4.33
5,1975-11-20,4.258
6,1975-11-21,4.256
7,1975-11-24,4.295
8,1975-11-25,4.227
9,1975-11-26,4.231
10,1975-11-28,4.1
11,1975-12-01,4.063
12,1975-12-02,4.118
13,1975-12-03,4.03
14,1975-12-04,4.015
15,1975-12-05,4.013
16,1975-12-08,3.92
17,1975-12-09,3.962
18,1975-12-10,3.986
19,1975-12-11,4.025
20,1975-12-12,3.94
21,1975-12-15,3.941
22,1975-12-16,4.033
23,1975-12-17,4.057
24,1975-12-18,4.052
25,1975-12-19,4.252
26,1975-12-22,4.302
27,1975-12-23,4.248
28,1975-12-24,4.258
29,1975-12-30,4.231
30,1975-12-31,4.236
31,1976-01-02,4.275
32,1976-01-05,4.298
33,1976-01-06,4.335
34,1976-01-07,4.365
35,1976-01-08,4.263
36,1976-01-09,4.265
37,1976-01-12,4.335
38,1976-01-13,4.148
39,1976-01-14,4.145
40,1976-01-15,4.02
41,1976-01-16,4.04
42,1976-01-19,3.94
43,1976-01-20,3.86
44,1976-01-21,3.9
45,1976-01-22,3.92
46,1976-01-23,3.935
47,1976-01-26,3.853
48,1976-01-27,3.91
49,1976-01-28,3.96
50,1976-01-29,4.04
51,1976-01-30,3.97
52,1976-02-02,4.008
53,1976-02-03,3.97
54,1976-02-04,3.93
55,1976-02-05,3.958
56,1976-02-06,3.99
57,1976-02-09,3.958
58,1976-02-10,4.12
59,1976-02-11,4.087
60,1976-02-12,4.105
61,1976-02-13,4.105
62,1976-02-17,4.097
63,1976-02-18,4.111
64,1976-02-19,4.187
65,1976-02-20,4.185
66,1976-02-23,4.21
67,1976-02-24,4.235
68,1976-02-25,4.205
69,1976-02-26,4.15
70,1976-02-27,4.202
71,1976-03-01,4.162
72,1976-03-02,4.123
73,1976-03-03,4.163
74,1976-03-04,4.223
75,1976-03-05,4.261
76,1976-03-08,4.254
77,1976-03-09,4.272
78,1976-03-10,4.298
79,1976-03-11,4.229
80,1976-03-12,4.231
81,1976-03-15,4.176
82,1976-03-16,4.146
83,1976-03-17,4.21
84,1976-03-18,4.182
85,1976-03-19,4.225
86,1976-03-22,4.17
87,1976-03-23,4.183
88,1976-03-24,4.149
89,1976-03-25,4.11
90,1976-03-26,4.078
91,1976-03-30,4.082
92,1976-03-31,4.053
93,1976-04-01,4.15
94,1976-04-02,4.11
95,1976-04-05,4.147
96,1976-04-06,4.19
97,1976-04-07,4.201
98,1976-04-08,4.293
99,1976-04-09,4.285
100,1976-04-12,4.437
101,1976-04-13,4.415
102,1976-04-14,4.377
103,1976-04-15,4.426
104,1976-04-19,4.505
105,1976-04-20,4.52
106,1976-04-21,4.424
107,1976-04-22,4.409
108,1976-04-23,4.395
109,1976-04-26,4.482
110,1976-04-27,4.515
111,1976-04-28,4.438
112,1976-04-29,4.436
113,1976-04-30,4.458
114,1976-05-03,4.398
115,1976-05-04,4.324
116,1976-05-05,4.37
117,1976-05-06,4.455
118,1976-05-07,4.528
119,1976-05-10,4.503
120,1976-05-11,4.492
121,1976-05-12,4.537
122,1976-05-13,4.496
123,1976-05-14,4.509
124,1976-05-17,4.428
125,1976-05-18,4.394
126,1976-05-19,4.38
127,1976-05-20,4.46
128,1976-05-21,4.429
129,1976-05-24,4.53
130,1976-05-25,4.511
131,1976-05-27,4.69
132,1976-05-28,4.71
133,1976-06-01,4.72
134,1976-06-02,4.7
135,1976-06-03,4.72
136,1976-06-04,4.675
137,1976-06-07,4.82
138,1976-06-08,4.785
139,1976-06-09,4.855
140,1976-06-10,4.92
141,1976-06-11,4.96
142,1976-06-14,4.94
143,1976-06-15,4.837
144,1976-06-16,4.832
145,1976-06-17,4.868
146,1976-06-18,4.865
147,1976-06-21,4.873
148,1976-06-22,4.915
149,1976-06-23,4.77
150,1976-06-24,4.81
151,1976-06-25,4.735
152,1976-06-28,4.707
153,1976-06-29,4.809
154,1976-06-30,4.837
155,1976-07-01,5.001
156,1976-07-02,5.008
157,1976-07-06,5.137
158,1976-07-07,5.014
159,1976-07-08,5.096
160,1976-07-09,5.047
161,1976-07-12,4.868
162,1976-07-13,4.883
163,1976-07-14,5.0
164,1976-07-15,4.838
165,1976-07-16,4.767
166,1976-07-19,4.543
167,1976-07-20,4.476
168,1976-07-21,4.543
169,1976-07-22,4.46
170,1976-07-23,4.58
171,1976-07-26,4.518
172,1976-07-27,4.576
173,1976-07-29,4.541
174,1976-07-30,4.512
175,1976-08-02,4.337
176,1976-08-03,4.283
177,1976-08-04,4.38
178,1976-08-05,4.225
179,1976-08-06,4.235
180,1976-08-09,4.145
181,1976-08-10,4.27
182,1976-08-11,4.325
183,1976-08-12,4.352
184,1976-08-13,4.36
185,1976-08-16,4.333
186,1976-08-17,4.239
187,1976-08-18,4.232
188,1976-08-19,4.349
189,1976-08-20,4.262
190,1976-08-23,4.185
191,1976-08-24,4.07
192,1976-08-25,4.107
193,1976-08-26,4.177
194,1976-08-27,4.105
195,1976-08-30,4.102
196,1976-08-31,4.082
197,1976-09-01,4.267
198,1976-09-02,4.3
199,1976-09-03,4.268
200,1976-09-07,4.416
201,1976-09-08,4.295
202,1976-09-09,4.288
203,1976-09-10,4.168
204,1976-09-13,4.192
205,1976-09-14,4.178
206,1976-09-15,4.229
207,1976-09-16,4.219
208,1976-09-17,4.254
209,1976-09-20,4.205
210,1976-09-21,4.34
211,1976-09-22,4.4
212,1976-09-23,4.366
213,1976-09-24,4.423
214,1976-09-27,4.403
215,1976-09-29,4.405
216,1976-09-30,4.372
217,1976-10-01,4.37
218,1976-10-04,4.37
219,1976-10-05,4.322
220,1976-10-06,4.317
221,1976-10-07,4.283
222,1976-10-08,4.22
223,1976-10-11,4.22
224,1976-10-12,4.185
225,1976-10-13,4.238
226,1976-10-14,4.175
227,1976-10-15,4.225
228,1976-10-18,4.2
229,1976-10-19,4.18
230,1976-10-20,4.195
231,1976-10-21,4.228
232,1976-10-22,4.19
233,1976-10-25,4.16
234,1976-10-26,4.171
235,1976-10-27,4.29
236,1976-10-28,4.285
237,1976-10-29,4.332
238,1976-11-01,4.34
239,1976-11-03,4.313
240,1976-11-04,4.357
241,1976-11-05,4.385
242,1976-11-08,4.38
243,1976-11-09,4.451
244,1976-11-10,4.54
245,1976-11-11,4.51
246,1976-11-12,4.53
247,1976-11-15,4.38
248,1976-11-16,4.395
249,1976-11-17,4.332
250,1976-11-18,4.322
251,1976-11-19,4.366
252,1976-11-22,4.412
253,1976-11-23,4.362
254,1976-11-24,4.322
255,1976-11-26,4.22
256,1976-11-29,4.279
257,1976-11-30,4.273
258,1976-12-01,4.33
259,1976-12-02,4.319
260,1976-12-03,4.364
261,1976-12-06,4.363
262,1976-12-07,4.296
263,1976-12-08,4.385
264,1976-12-09,4.395
265,1976-12-10,4.373
266,1976-12-13,4.353
267,1976-12-14,4.39
268,1976-12-15,4.342
269,1976-12-16,4.384
270,1976-12-17,4.323
271,1976-12-20,4.33
272,1976-12-21,4.377
273,1976-12-22,4.348
274,1976-12-23,4.372
275,1976-12-27,4.361
276,1976-12-30,4.39
277,1977-01-03,4.444
278,1977-01-04,4.447
279,1977-01-05,4.423
280,1977-01-06,4.447
281,1977-01-07,4.435
282,1977-01-10,4.33
283,1977-01-11,4.344
284,1977-01-12,4.364
285,1977-01-13,4.364
286,1977-01-14,4.352
287,1977-01-17,4.419
288,1977-01-18,4.402
289,1977-01-19,4.413
290,1977-01-20,4.434
291,1977-01-21,4.434
292,1977-01-24,4.535
293,1977-01-25,4.53
294,1977-01-26,4.565
295,1977-01-27,4.485
296,1977-01-28,4.48
297,1977-01-31,4.495
298,1977-02-01,4.465
299,1977-02-02,4.494
300,1977-02-03,4.502
301,1977-02-04,4.523
302,1977-02-07,4.528
303,1977-02-08,4.535
304,1977-02-09,4.525
305,1977-02-10,4.498
306,1977-02-11,4.485
307,1977-02-14,4.497
308,1977-02-15,4.482
309,1977-02-16,4.52
310,1977-02-17,4.531
311,1977-02-18,4.533
312,1977-02-22,4.555
313,1977-02-23,4.618
314,1977-02-24,4.608
315,1977-02-25,4.671
316,1977-02-28,4.732
317,1977-03-01,4.757
318,1977-03-02,4.808
319,1977-03-03,4.753
320,1977-03-04,4.871
321,1977-03-07,4.874
322,1977-03-08,4.845
323,1977-03-09,4.868
324,1977-03-10,4.785
325,1977-03-11,4.807
326,1977-03-14,4.787
327,1977-03-15,4.865
328,1977-03-16,4.872
329,1977-03-17,4.894
330,1977-03-18,4.917
331,1977-03-21,4.976
332,1977-03-22,4.907
333,1977-03-23,4.968
334,1977-03-24,4.913
335,1977-03-25,4.864
336,1977-03-28,4.781
337,1977-03-30,4.835
338,1977-03-31,4.832
339,1977-04-01,4.915
340,1977-04-04,4.863
341,1977-04-05,4.72
342,1977-04-06,4.718
343,1977-04-07,4.77
344,1977-04-11,4.769
345,1977-04-12,4.751
346,1977-04-13,4.773
347,1977-04-14,4.797
348,1977-04-15,4.865
349,1977-04-18,4.872
350,1977-04-19,4.835
351,1977-04-20,4.812
352,1977-04-21,4.832
353,1977-04-22,4.831
354,1977-04-25,4.757
355,1977-04-26,4.759
356,1977-04-27,4.704
357,1977-04-28,4.694
358,1977-04-29,4.76
359,1977-05-02,4.785
360,1977-05-03,4.747
361,1977-05-04,4.723
362,1977-05-05,4.71
363,1977-05-06,4.718
364,1977-05-09,4.728
365,1977-05-10,4.779
366,1977-05-11,4.739
367,1977-05-12,4.776
368,1977-05-13,4.765
369,1977-05-16,4.775
370,1977-05-17,4.73
371,1977-05-18,4.728
372,1977-05-19,4.71
373,1977-05-20,4.633
374,1977-05-23,4.57
375,1977-05-24,4.595
376,1977-05-25,4.552
377,1977-05-27,4.576
378,1977-05-31,4.565
379,1977-06-01,4.603
380,1977-06-02,4.56
381,1977-06-03,4.521
382,1977-06-06,4.554
383,1977-06-07,4.525
384,1977-06-08,4.448
385,1977-06-09,4.372
386,1977-06-10,4.39
387,1977-06-13,4.343
388,1977-06-14,4.342
389,1977-06-15,4.381
390,1977-06-16,4.377
391,1977-06-17,4.42
392,1977-06-20,4.455
393,1977-06-21,4.419
394,1977-06-22,4.406
395,1977-06-23,4.431
396,1977-06-24,4.468
397,1977-06-27,4.481
398,1977-06-28,4.467
399,1977-06-29,4.518
400,1977-06-30,4.478
401,1977-07-01,4.395
402,1977-07-05,4.395
403,1977-07-06,4.423
404,1977-07-07,4.397
405,1977-07-08,4.409
406,1977-07-11,4.45
407,1977-07-12,4.463
408,1977-07-13,4.506
409,1977-07-15,4.525
410,1977-07-18,4.524
411,1977-07-19,4.587
412,1977-07-20,4.559
413,1977-07-21,4.545
414,1977-07-22,4.577
415,1977-07-25,4.626
416,1977-07-26,4.597
417,1977-07-28,4.517
418,1977-07-29,4.521
419,1977-08-01,4.515
420,1977-08-02,4.547
421,1977-08-03,4.573
422,1977-08-04,4.555
423,1977-08-05,4.572
424,1977-08-08,4.578
425,1977-08-09,4.562
426,1977-08-10,4.558
427,1977-08-11,4.535
428,1977-08-12,4.432
429,1977-08-15,4.326
430,1977-08-16,4.37
431,1977-08-17,4.369
432,1977-08-18,4.41
433,1977-08-19,4.409
434,1977-08-22,4.358
435,1977-08-23,4.387
436,1977-08-24,4.388
437,1977-08-25,4.364
438,1977-08-26,4.403
439,1977-08-29,4.39
440,1977-08-30,4.459
441,1977-08-31,4.464
442,1977-09-01,4.458
443,1977-09-02,4.507
444,1977-09-06,4.47
445,1977-09-07,4.516
446,1977-09-08,4.454
447,1977-09-09,4.481
448,1977-09-12,4.452
449,1977-09-13,4.444
450,1977-09-14,4.446
451,1977-09-15,4.478
452,1977-09-16,4.559
453,1977-09-19,4.549
454,1977-09-20,4.608
455,1977-09-21,4.605
456,1977-09-22,4.591
457,1977-09-23,4.566
458,1977-09-26,4.639
459,1977-09-27,4.605
460,1977-09-29,4.69
461,1977-09-30,4.687
462,1977-10-03,4.705
463,1977-10-04,4.723
464,1977-10-05,4.69
465,1977-10-06,4.69
466,1977-10-07,4.693
467,1977-10-10,4.79
468,1977-10-11,4.828
469,1977-10-12,4.816
470,1977-10-13,4.785
471,1977-10-14,4.86
472,1977-10-17,4.888
473,1977-10-18,4.861
474,1977-10-19,4.807
475,1977-10-20,4.828
476,1977-10-21,4.865
477,1977-10-24,4.93
478,1977-10-25,4.922
479,1977-10-26,4.873
480,1977-10-27,4.839
481,1977-10-28,4.854
482,1977-10-31,4.892
483,1977-11-01,4.889
484,1977-11-02,4.865
485,1977-11-03,4.926
486,1977-11-04,4.965
487,1977-11-07,4.92
488,1977-11-08,4.948
489,1977-11-09,4.963
490,1977-11-10,4.973
491,1977-11-11,4.953
492,1977-11-14,4.817
493,1977-11-15,4.833
494,1977-11-16,4.807
495,1977-11-17,4.84
496,1977-11-18,4.857
497,1977-11-21,4.67
498,1977-11-22,4.68
499,1977-11-23,4.71
500,1977-11-25,4.745
501,1977-11-28,4.722
502,1977-11-29,4.746
503,1977-11-30,4.764
504,1977-12-01,4.666
505,1977-12-02,4.685
506,1977-12-05,4.746
507,1977-12-06,4.738
508,1977-12-07,4.796
509,1977-12-08,4.768
510,1977-12-09,4.728
511,1977-12-12,4.616
512,1977-12-13,4.663
513,1977-12-14,4.645
514,1977-12-15,4.658
515,1977-12-16,4.668
516,1977-12-19,4.628
517,1977-12-20,4.701
518,1977-12-21,4.649
519,1977-12-22,4.718
520,1977-12-23,4.739
521,1977-12-27,4.758
522,1977-12-29,4.872
523,1978-01-03,4.985
524,1978-01-04,4.87
525,1978-01-05,4.943
526,1978-01-06,4.925
527,1978-01-09,4.975
528,1978-01-10,4.96
529,1978-01-11,5.008
530,1978-01-12,4.935
531,1978-01-13,5.035
532,1978-01-16,5.031
533,1978-01-17,4.98
534,1978-01-18,4.931
535,1978-01-19,4.95
536,1978-01-23,5.057
537,1978-01-24,5.048
538,1978-01-25,5.066
539,1978-01-26,5.0
540,1978-01-27,4.975
541,1978-01-30,4.957
542,1978-01-31,4.998
543,1978-02-01,4.962
544,1978-02-02,4.895
545,1978-02-03,4.905
546,1978-02-06,4.917
547,1978-02-08,4.848
548,1978-02-09,4.878
549,1978-02-10,4.916
550,1978-02-13,4.952
551,1978-02-14,4.912
552,1978-02-15,4.999
553,1978-02-16,5.033
554,1978-02-17,5.015
555,1978-02-21,5.04
556,1978-02-22,4.974
557,1978-02-23,4.99
558,1978-02-24,4.93
559,1978-02-27,4.944
560,1978-02-28,4.958
561,1978-03-01,4.935
562,1978-03-02,4.989
563,1978-03-03,4.896
564,1978-03-06,5.055
565,1978-03-07,5.257
566,1978-03-08,5.354
567,1978-03-09,5.304
568,1978-03-10,5.35
569,1978-03-13,5.472
570,1978-03-14,5.389
571,1978-03-15,5.406
572,1978-03-16,5.483
573,1978-03-17,5.334
574,1978-03-20,5.178
575,1978-03-21,5.189
576,1978-03-22,5.258
577,1978-03-23,5.295
578,1978-03-27,5.405
579,1978-03-28,5.363
580,1978-03-29,5.359
581,1978-03-30,5.345
582,1978-03-31,5.49
583,1978-04-03,5.332
584,1978-04-04,5.247
585,1978-04-05,5.265
586,1978-04-06,5.294
587,1978-04-07,5.235
588,1978-04-10,5.264
589,1978-04-11,5.345
590,1978-04-12,5.295
591,1978-04-13,5.23
592,1978-04-14,5.212
593,1978-04-17,5.04
594,1978-04-18,5.08
595,1978-04-19,5.056
596,1978-04-20,4.977
597,1978-04-21,4.979
598,1978-04-24,4.872
599,1978-04-25,4.906
600,1978-04-26,4.939
601,1978-04-27,4.979
602,1978-04-28,4.971
603,1978-05-01,4.943
604,1978-05-02,4.992
605,1978-05-03,5.029
606,1978-05-04,5.07
607,1978-05-05,5.063
608,1978-05-08,5.032
609,1978-05-09,5.015
610,1978-05-10,5.068
611,1978-05-11,5.032
612,1978-05-12,5.041
613,1978-05-15,5.078
614,1978-05-16,5.128
615,1978-05-17,5.127
616,1978-05-18,5.183
617,1978-05-19,5.153
618,1978-05-22,5.164
619,1978-05-23,5.198
620,1978-05-24,5.163
621,1978-05-25,5.232
622,1978-05-26,5.282
623,1978-05-30,5.439
624,1978-05-31,5.43
625,1978-06-01,5.452
626,1978-06-02,5.35
627,1978-06-05,5.339
628,1978-06-06,5.374
629,1978-06-07,5.27
630,1978-06-08,5.304
631,1978-06-09,5.275
