,Date,Close
8417,1991-03-15,7.715
8416,1991-03-18,7.788
8415,1991-03-19,7.909
8414,1991-03-20,7.851
8413,1991-03-21,7.804
8412,1991-03-22,7.793
8411,1991-03-25,7.816
8410,1991-03-26,7.808
8409,1991-03-27,7.762
8408,1991-03-28,7.746
8407,1991-04-01,7.739
8406,1991-04-02,7.681
8405,1991-04-03,7.704
8404,1991-04-04,7.662
8403,1991-04-05,7.638
8402,1991-04-08,7.631
8401,1991-04-09,7.68
8400,1991-04-10,7.738
8399,1991-04-11,7.715
8398,1991-04-12,7.618
8397,1991-04-15,7.634
8396,1991-04-16,7.633
8395,1991-04-17,7.633
8394,1991-04-18,7.737
8393,1991-04-19,7.791
8392,1991-04-22,7.818
8391,1991-04-23,7.775
8390,1991-04-24,7.709
8389,1991-04-25,7.702
8388,1991-04-26,7.671
8387,1991-04-29,7.69
8386,1991-04-30,7.61
8385,1991-05-01,7.617
8384,1991-05-02,7.575
8383,1991-05-03,7.651
8382,1991-05-06,7.64
8381,1991-05-07,7.67
8380,1991-05-08,7.663
8379,1991-05-09,7.666
8378,1991-05-10,7.747
8377,1991-05-13,7.705
8376,1991-05-14,7.739
8375,1991-05-15,7.747
8374,1991-05-16,7.77
8373,1991-05-17,7.743
8372,1991-05-20,7.755
8371,1991-05-21,7.708
8370,1991-05-22,7.7
8369,1991-05-23,7.704
8368,1991-05-24,7.69
8367,1991-05-28,7.66
8366,1991-05-29,7.66
8365,1991-05-30,7.618
8364,1991-05-31,7.705
8363,1991-06-03,7.801
8362,1991-06-04,7.778
8361,1991-06-05,7.836
8360,1991-06-06,7.836
8359,1991-06-07,7.949
8358,1991-06-10,7.953
8357,1991-06-11,7.949
8356,1991-06-12,8.012
8355,1991-06-13,7.976
8354,1991-06-14,7.918
8353,1991-06-17,7.949
8352,1991-06-18,7.961
8351,1991-06-19,7.934
8350,1991-06-20,7.895
8349,1991-06-21,7.934
8348,1991-06-24,7.965
8347,1991-06-25,7.973
8346,1991-06-26,7.993
8345,1991-06-27,7.952
8344,1991-06-28,7.879
8343,1991-07-01,7.921
8342,1991-07-02,7.933
8341,1991-07-03,7.917
8340,1991-07-05,8.006
8339,1991-07-08,7.975
8338,1991-07-09,8.002
8337,1991-07-10,7.971
8336,1991-07-11,7.932
8335,1991-07-12,7.901
8334,1991-07-15,7.909
8333,1991-07-16,7.897
8332,1991-07-17,7.943
8331,1991-07-18,7.916
8330,1991-07-19,7.9
8329,1991-07-22,7.908
8328,1991-07-23,7.935
8327,1991-07-24,7.865
8326,1991-07-25,7.81
8325,1991-07-26,7.81
8324,1991-07-29,7.806
8323,1991-07-30,7.791
8322,1991-07-31,7.737
8321,1991-08-01,7.741
8320,1991-08-02,7.626
8319,1991-08-05,7.599
8318,1991-08-06,7.535
8317,1991-08-07,7.515
8316,1991-08-08,7.53
8315,1991-08-09,7.484
8314,1991-08-12,7.48
8313,1991-08-13,7.438
8312,1991-08-14,7.344
8311,1991-08-15,7.336
8310,1991-08-16,7.305
8309,1991-08-19,7.285
8308,1991-08-20,7.225
8307,1991-08-21,7.232
8306,1991-08-22,7.217
8305,1991-08-23,7.367
8304,1991-08-26,7.416
8303,1991-08-27,7.416
8302,1991-08-28,7.298
8301,1991-08-29,7.262
8300,1991-08-30,7.338
8299,1991-09-03,7.303
8298,1991-09-04,7.311
8297,1991-09-05,7.341
8296,1991-09-06,7.231
8295,1991-09-09,7.193
8294,1991-09-10,7.189
8293,1991-09-11,7.204
8292,1991-09-12,7.083
8291,1991-09-13,7.101
8290,1991-09-16,7.09
8289,1991-09-17,7.078
8288,1991-09-18,7.086
8287,1991-09-19,7.086
8286,1991-09-20,7.07
8285,1991-09-23,7.062
8284,1991-09-24,7.062
8283,1991-09-25,7.07
8282,1991-09-26,7.019
8281,1991-09-27,6.948
