Date,Open,High,Low,Close,SMAVG (50)  on Close,SMAVG (100)  on Close,SMAVG (200)  on Close
2024-11-12,4.32,4.398,4.312,4.397,3.975,4.033,4.19
2024-11-08,4.306,4.328,4.262,4.305,3.964,4.031,4.189
2024-11-07,4.41,4.429,4.308,4.328,3.955,4.031,4.188
2024-11-06,4.443,4.475,4.4,4.433,3.945,4.03,4.187
2024-11-05,4.327,4.364,4.271,4.273,3.933,4.028,4.185
2024-11-04,4.291,4.327,4.261,4.286,3.923,4.029,4.185
2024-11-01,4.305,4.384,4.22,4.385,3.914,4.03,4.184
2024-10-31,4.278,4.331,4.258,4.285,3.903,4.031,4.182
2024-10-30,4.252,4.3,4.196,4.301,3.893,4.032,4.181
2024-10-29,4.312,4.337,4.252,4.255,3.885,4.032,4.18
2024-10-28,4.25,4.298,4.228,4.283,3.877,4.032,4.178
2024-10-25,4.2,4.246,4.176,4.241,3.87,4.033,4.177
2024-10-24,4.208,4.238,4.18,4.213,3.862,4.034,4.176
2024-10-23,4.242,4.256,4.218,4.247,3.854,4.037,4.175
2024-10-22,4.186,4.214,4.164,4.209,3.848,4.04,4.174
2024-10-21,4.128,4.196,4.12,4.197,3.842,4.044,4.173
2024-10-18,4.091,4.091,4.063,4.084,3.838,4.048,4.171
2024-10-17,4.03,4.098,4.03,4.092,3.835,4.051,4.171
2024-10-16,4.012,4.026,3.993,4.014,3.831,4.055,4.17
2024-10-15,4.067,4.067,4.024,4.034,3.827,4.059,4.169
2024-10-11,4.087,4.114,4.065,4.101,3.822,4.063,4.167
2024-10-10,4.065,4.116,4.047,4.063,3.819,4.067,4.166
2024-10-09,4.039,4.076,4.03,4.074,3.819,4.07,4.166
2024-10-08,4.045,4.055,4.012,4.013,3.82,4.073,4.165
2024-10-07,4.014,4.031,4.002,4.027,3.823,4.076,4.164
2024-10-04,3.848,3.983,3.848,3.968,3.827,4.081,4.163
2024-10-03,3.798,3.853,3.796,3.847,3.832,4.086,4.163
2024-10-02,3.792,3.815,3.773,3.783,3.841,4.092,4.164
2024-10-01,3.737,3.749,3.694,3.732,3.85,4.099,4.164
2024-09-30,3.792,3.804,3.752,3.782,3.861,4.107,4.166
2024-09-27,3.773,3.779,3.739,3.752,3.87,4.113,4.168
2024-09-26,3.758,3.819,3.754,3.797,3.879,4.121,4.17
2024-09-25,3.77,3.791,3.753,3.786,3.886,4.128,4.172
2024-09-24,3.8,3.808,3.726,3.73,3.894,4.136,4.174
2024-09-23,3.758,3.793,3.73,3.751,3.904,4.145,4.176
2024-09-20,3.717,3.762,3.713,3.742,3.912,4.154,4.178
2024-09-19,3.715,3.766,3.713,3.715,3.922,4.163,4.181
2024-09-18,3.683,3.719,3.636,3.705,3.933,4.172,4.183
2024-09-17,3.599,3.653,3.595,3.647,3.945,4.182,4.186
2024-09-16,3.627,3.661,3.616,3.619,3.958,4.192,4.189
2024-09-13,3.659,3.676,3.642,3.653,3.971,4.202,4.193
2024-09-12,3.65,3.704,3.635,3.675,3.985,4.212,4.196
2024-09-11,3.605,3.685,3.605,3.654,4,4.221,4.2
2024-09-10,3.712,3.712,3.635,3.644,4.016,4.231,4.204
2024-09-09,3.74,3.742,3.689,3.701,4.031,4.24,4.208
2024-09-06,3.71,3.759,3.644,3.71,4.043,4.25,4.211
2024-09-05,3.731,3.77,3.719,3.728,4.055,4.259,4.215
