Date,Open,High,Low,Close,SMAVG (50)  on Close,SMAVG (100)  on Close,SMAVG (200)  on Close
2024-11-12,4.471,4.555,4.459,4.554,4.259,4.292,4.393
2024-11-08,4.503,4.521,4.454,4.471,4.251,4.29,4.392
2024-11-07,4.598,4.618,4.517,4.531,4.244,4.289,4.392
2024-11-06,4.637,4.663,4.582,4.612,4.235,4.288,4.391
2024-11-05,4.502,4.52,4.434,4.436,4.225,4.286,4.389
2024-11-04,4.487,4.52,4.458,4.468,4.218,4.286,4.389
2024-11-01,4.488,4.58,4.43,4.58,4.212,4.287,4.388
2024-10-31,4.457,4.518,4.448,4.476,4.202,4.287,4.387
2024-10-30,4.485,4.512,4.429,4.504,4.193,4.288,4.386
2024-10-29,4.555,4.581,4.497,4.499,4.186,4.287,4.384
2024-10-28,4.512,4.554,4.49,4.53,4.178,4.286,4.383
2024-10-25,4.471,4.512,4.446,4.5,4.171,4.286,4.381
2024-10-24,4.485,4.515,4.449,4.475,4.164,4.286,4.38
2024-10-23,4.529,4.535,4.492,4.52,4.157,4.288,4.378
2024-10-22,4.485,4.508,4.463,4.497,4.151,4.289,4.377
2024-10-21,4.439,4.5,4.432,4.5,4.146,4.292,4.375
2024-10-18,4.391,4.392,4.362,4.393,4.141,4.293,4.373
2024-10-17,4.315,4.399,4.315,4.39,4.138,4.295,4.371
2024-10-16,4.298,4.308,4.275,4.296,4.134,4.297,4.369
2024-10-15,4.365,4.365,4.312,4.321,4.13,4.3,4.368
2024-10-11,4.393,4.42,4.372,4.412,4.125,4.302,4.366
2024-10-10,4.338,4.407,4.332,4.36,4.123,4.304,4.364
2024-10-09,4.328,4.354,4.311,4.342,4.121,4.306,4.363
2024-10-08,4.328,4.34,4.293,4.294,4.123,4.307,4.361
2024-10-07,4.284,4.31,4.277,4.306,4.125,4.309,4.36
2024-10-04,4.171,4.273,4.171,4.251,4.128,4.312,4.358
2024-10-03,4.14,4.19,4.137,4.178,4.133,4.316,4.357
2024-10-02,4.14,4.166,4.124,4.13,4.14,4.321,4.356
2024-10-01,4.065,4.086,4.031,4.073,4.147,4.325,4.356
2024-09-30,4.133,4.137,4.091,4.12,4.155,4.331,4.356
2024-09-27,4.113,4.119,4.084,4.105,4.162,4.336,4.357
