Date,Open,High,Low,Close,SMAVG (50)  on Close,SMAVG (100)  on Close,SMAVG (200)  on Close
2024-11-12,4.581,4.666,4.57,4.667,4.334,4.379,4.49
2024-11-08,4.605,4.624,4.556,4.581,4.326,4.377,4.489
2024-11-07,4.711,4.726,4.614,4.632,4.318,4.376,4.488
2024-11-06,4.738,4.766,4.685,4.714,4.31,4.374,4.488
2024-11-05,4.619,4.641,4.553,4.559,4.299,4.372,4.486
2024-11-04,4.597,4.63,4.567,4.584,4.292,4.372,4.486
2024-11-01,4.607,4.699,4.535,4.697,4.284,4.373,4.485
2024-10-31,4.596,4.645,4.57,4.591,4.274,4.373,4.484
2024-10-30,4.568,4.627,4.533,4.621,4.266,4.373,4.483
2024-10-29,4.655,4.683,4.594,4.597,4.258,4.372,4.481
2024-10-28,4.598,4.644,4.575,4.627,4.251,4.371,4.48
2024-10-25,4.546,4.595,4.526,4.588,4.244,4.37,4.478
2024-10-24,4.551,4.594,4.525,4.557,4.237,4.371,4.477
2024-10-23,4.595,4.604,4.561,4.597,4.23,4.372,4.476
2024-10-22,4.545,4.57,4.524,4.563,4.224,4.374,4.475
2024-10-21,4.496,4.562,4.49,4.562,4.219,4.377,4.474
2024-10-18,4.461,4.461,4.426,4.453,4.215,4.379,4.472
2024-10-17,4.374,4.463,4.374,4.453,4.213,4.381,4.471
2024-10-16,4.357,4.368,4.334,4.359,4.209,4.383,4.469
2024-10-15,4.429,4.429,4.373,4.38,4.206,4.386,4.468
2024-10-11,4.44,4.474,4.426,4.463,4.202,4.389,4.467
2024-10-10,4.405,4.467,4.393,4.418,4.199,4.391,4.466
2024-10-09,4.393,4.425,4.379,4.417,4.199,4.393,4.465
2024-10-08,4.398,4.408,4.359,4.362,4.2,4.395,4.464
2024-10-07,4.357,4.381,4.349,4.378,4.203,4.398,4.463
2024-10-04,4.248,4.339,4.248,4.32,4.207,4.401,4.462
2024-10-03,4.206,4.251,4.196,4.24,4.212,4.405,4.461
2024-10-02,4.201,4.229,4.183,4.189,4.22,4.41,4.461
2024-10-01,4.124,4.147,4.089,4.133,4.227,4.415,4.461
2024-09-30,4.185,4.196,4.144,4.176,4.236,4.421,4.462
2024-09-27,4.167,4.172,4.135,4.152,4.244,4.426,4.464
2024-09-26,4.156,4.212,4.155,4.184,4.251,4.432,4.465
2024-09-25,4.167,4.192,4.153,4.186,4.257,4.438,4.467
2024-09-24,4.188,4.196,4.119,4.128,4.263,4.444,4.468
2024-09-23,4.143,4.176,4.109,4.135,4.271,4.452,4.469
2024-09-20,4.096,4.139,4.096,4.127,4.279,4.459,4.471
2024-09-19,4.103,4.149,4.098,4.101,4.287,4.466,4.473
2024-09-18,4.067,4.102,4.028,4.088,4.296,4.474,4.476
2024-09-17,3.986,4.033,3.97,4.031,4.306,4.483,4.479
2024-09-16,4.023,4.05,3.994,3.998,4.317,4.491,4.482
2024-09-13,4.055,4.074,4.036,4.049,4.329,4.5,4.485
2024-09-12,4.008,4.096,4.008,4.067,4.341,4.508,4.488
2024-09-11,3.995,4.063,3.995,4.041,4.353,4.515,4.492
2024-09-10,4.091,4.091,4.019,4.034,4.367,4.524,4.495
2024-09-09,4.121,4.124,4.067,4.078,4.38,4.531,4.499
2024-09-06,4.099,4.131,4.03,4.093,4.389,4.54,4.502
2024-09-05,4.126,4.149,4.099,4.107,4.398,4.547,4.506
2024-09-04,4.204,4.216,4.132,4.138,4.406,4.553,4.51
2024-09-03,4.283,4.286,4.191,4.206,4.413,4.56,4.513
2024-08-30,4.228,4.317,4.201,4.286,4.419,4.565,4.516
2024-08-29,4.218,4.269,4.218,4.238,4.423,4.569,4.52
2024-08-28,4.206,4.228,4.198,4.218,4.428,4.573,4.523
2024-08-27,4.232,4.245,4.191,4.204,4.434,4.577,4.527
2024-08-26,4.19,4.202,4.156,4.192,4.439,4.581,4.53
2024-08-23,4.212,4.217,4.165,4.183,4.445,4.585,4.534
2024-08-22,4.204,4.242,4.186,4.22,4.453,4.589,4.538
