,Date,Close
8417,1991-03-15,8.094
8416,1991-03-18,8.144
8415,1991-03-19,8.234
8414,1991-03-20,8.167
8413,1991-03-21,8.139
8412,1991-03-22,8.123
8411,1991-03-25,8.127
8410,1991-03-26,8.113
8409,1991-03-27,8.057
8408,1991-03-28,8.054
8407,1991-04-01,8.066
8406,1991-04-02,8.024
8405,1991-04-03,8.045
8404,1991-04-04,7.996
8403,1991-04-05,7.982
8402,1991-04-08,7.968
8401,1991-04-09,8.019
8400,1991-04-10,8.083
8399,1991-04-11,8.069
8398,1991-04-12,7.968
8397,1991-04-15,7.961
8396,1991-04-16,7.951
8395,1991-04-17,7.942
8394,1991-04-18,8.027
8393,1991-04-19,8.102
8392,1991-04-22,8.148
8391,1991-04-23,8.117
8390,1991-04-24,8.048
8389,1991-04-25,8.072
8388,1991-04-26,8.046
8387,1991-04-29,8.062
8386,1991-04-30,8.013
8385,1991-05-01,7.996
8384,1991-05-02,7.942
8383,1991-05-03,8.041
8382,1991-05-06,8.032
8381,1991-05-07,8.058
8380,1991-05-08,8.042
8379,1991-05-09,8.016
8378,1991-05-10,8.101
8377,1991-05-13,8.062
8376,1991-05-14,8.127
8375,1991-05-15,8.127
8374,1991-05-16,8.131
8373,1991-05-17,8.083
8372,1991-05-20,8.085
8371,1991-05-21,8.05
8370,1991-05-22,8.066
8369,1991-05-23,8.082
8368,1991-05-24,8.085
8367,1991-05-28,8.061
8366,1991-05-29,8.061
8365,1991-05-30,8.013
8364,1991-05-31,8.059
8363,1991-06-03,8.142
8362,1991-06-04,8.128
8361,1991-06-05,8.18
8360,1991-06-06,8.222
8359,1991-06-07,8.279
8358,1991-06-10,8.284
8357,1991-06-11,8.286
8356,1991-06-12,8.364
8355,1991-06-13,8.322
8354,1991-06-14,8.269
8353,1991-06-17,8.305
8352,1991-06-18,8.317
8351,1991-06-19,8.317
8350,1991-06-20,8.274
8349,1991-06-21,8.317
8348,1991-06-24,8.326
8347,1991-06-25,8.329
8346,1991-06-26,8.336
8345,1991-06-27,8.305
8344,1991-06-28,8.227
8343,1991-07-01,8.258
8342,1991-07-02,8.26
8341,1991-07-03,8.246
8340,1991-07-05,8.334
8339,1991-07-08,8.324
8338,1991-07-09,8.353
8337,1991-07-10,8.327
8336,1991-07-11,8.284
8335,1991-07-12,8.258
8334,1991-07-15,8.27
8333,1991-07-16,8.26
8332,1991-07-17,8.31
8331,1991-07-18,8.282
8330,1991-07-19,8.28
8329,1991-07-22,8.28
8328,1991-07-23,8.301
8327,1991-07-24,8.232
8326,1991-07-25,8.187
8325,1991-07-26,8.197
8324,1991-07-29,8.197
8323,1991-07-30,8.192
8322,1991-07-31,8.147
8321,1991-08-01,8.161
8320,1991-08-02,8.053
8319,1991-08-05,8.027
8318,1991-08-06,7.966
8317,1991-08-07,7.957
8316,1991-08-08,7.985
8315,1991-08-09,7.973
8314,1991-08-12,7.948
8313,1991-08-13,7.907
8312,1991-08-14,7.811
8311,1991-08-15,7.838
8310,1991-08-16,7.824
8309,1991-08-19,7.838
8308,1991-08-20,7.801
8307,1991-08-21,7.785
8306,1991-08-22,7.781
8305,1991-08-23,7.87
8304,1991-08-26,7.911
8303,1991-08-27,7.911
8302,1991-08-28,7.814
8301,1991-08-29,7.755
8300,1991-08-30,7.816
8299,1991-09-03,7.794
8298,1991-09-04,7.812
8297,1991-09-05,7.844
8296,1991-09-06,7.755
8295,1991-09-09,7.721
8294,1991-09-10,7.72
8293,1991-09-11,7.732
8292,1991-09-12,7.632
8291,1991-09-13,7.641
8290,1991-09-16,7.63
8289,1991-09-17,7.607
8288,1991-09-18,7.607
8287,1991-09-19,7.602
8286,1991-09-20,7.571
8285,1991-09-23,7.551
8284,1991-09-24,7.562
8283,1991-09-25,7.573
8282,1991-09-26,7.544
8281,1991-09-27,7.481
8280,1991-09-30,7.445
8279,1991-10-01,7.429
8278,1991-10-02,7.467
8277,1991-10-03,7.467
8276,1991-10-04,7.385
8275,1991-10-07,7.389
8274,1991-10-08,7.433
8273,1991-10-09,7.513
8272,1991-10-10,7.565
8271,1991-10-11,7.45
8270,1991-10-15,7.426
8269,1991-10-16,7.448
8268,1991-10-17,7.569
8267,1991-10-18,7.506
8266,1991-10-21,7.627
8265,1991-10-22,7.675
8264,1991-10-23,7.679
8263,1991-10-24,7.643
8262,1991-10-25,7.672
8261,1991-10-28,7.64
8260,1991-10-29,7.491
8259,1991-10-30,7.469
8258,1991-10-31,7.46
8257,1991-11-01,7.473
8256,1991-11-04,7.493
8255,1991-11-05,7.552
8254,1991-11-06,7.527
8253,1991-11-07,7.426
8252,1991-11-08,7.417
8251,1991-11-12,7.348
8250,1991-11-13,7.399
8249,1991-11-14,7.346
8248,1991-11-15,7.306
8247,1991-11-18,7.339
8246,1991-11-19,7.372
8245,1991-11-20,7.363
8244,1991-11-21,7.403
8243,1991-11-22,7.445
8242,1991-11-25,7.461
8241,1991-11-26,7.405
8240,1991-11-27,7.411
8239,1991-11-29,7.376
8238,1991-12-02,7.304
8237,1991-12-03,7.275
8236,1991-12-04,7.187
8235,1991-12-05,7.236
8234,1991-12-06,7.231
8233,1991-12-09,7.226
8232,1991-12-10,7.209
8231,1991-12-11,7.206
8230,1991-12-12,7.18
8229,1991-12-13,7.206
8228,1991-12-16,7.195
8227,1991-12-17,7.177
8226,1991-12-18,7.186
8225,1991-12-19,7.081
8224,1991-12-20,6.963
8223,1991-12-23,6.864
8222,1991-12-24,6.875
8221,1991-12-26,6.842
8220,1991-12-27,6.823
8219,1991-12-30,6.716
8218,1991-12-31,6.699
8217,1992-01-02,6.782
8216,1992-01-03,6.837
8215,1992-01-06,6.798
8214,1992-01-07,6.755
8213,1992-01-08,6.751
8212,1992-01-09,6.782
8211,1992-01-10,6.852
8210,1992-01-13,6.952
8209,1992-01-14,7.028
8208,1992-01-15,7.056
8207,1992-01-16,7.153
8206,1992-01-17,7.086
8205,1992-01-21,7.02
8204,1992-01-22,7.093
8203,1992-01-23,7.23
8202,1992-01-24,7.238
8201,1992-01-27,7.254
8200,1992-01-28,7.165
8199,1992-01-29,7.247
8198,1992-01-30,7.307
8197,1992-01-31,7.274
8196,1992-02-03,7.348
8195,1992-02-04,7.267
8194,1992-02-05,7.186
8193,1992-02-06,7.209
8192,1992-02-07,7.177
8191,1992-02-10,7.186
8190,1992-02-11,7.217
8189,1992-02-12,7.266
8188,1992-02-13,7.388
8187,1992-02-14,7.386
8186,1992-02-18,7.47
8185,1992-02-19,7.397
8184,1992-02-20,7.395
8183,1992-02-21,7.445
8182,1992-02-24,7.483
8181,1992-02-25,7.447
8180,1992-02-26,7.322
8179,1992-02-27,7.327
8178,1992-02-28,7.25
8177,1992-03-02,7.379
8176,1992-03-03,7.408
8175,1992-03-04,7.422
8174,1992-03-05,7.509
8173,1992-03-06,7.474
8172,1992-03-09,7.404
8171,1992-03-10,7.44
8170,1992-03-11,7.507
8169,1992-03-12,7.599
8168,1992-03-13,7.699
8167,1992-03-16,7.685
8166,1992-03-17,7.611
8165,1992-03-18,7.613
8164,1992-03-19,7.555
8163,1992-03-20,7.63
8162,1992-03-23,7.609
8161,1992-03-24,7.516
8160,1992-03-25,7.516
8159,1992-03-26,7.581
8158,1992-03-27,7.521
8157,1992-03-30,7.514
8156,1992-03-31,7.528
8155,1992-04-01,7.445
8154,1992-04-02,7.443
8153,1992-04-03,7.397
8152,1992-04-06,7.415
8151,1992-04-07,7.374
8150,1992-04-08,7.408
8149,1992-04-09,7.324
8148,1992-04-10,7.356
8147,1992-04-13,7.321
8146,1992-04-14,7.326
8145,1992-04-15,7.363
8144,1992-04-16,7.441
8143,1992-04-20,7.578
8142,1992-04-21,7.562
8141,1992-04-22,7.554
8140,1992-04-23,7.552
8139,1992-04-24,7.52
8138,1992-04-27,7.594
8137,1992-04-28,7.538
8136,1992-04-29,7.601
8135,1992-04-30,7.583
8134,1992-05-01,7.55
8133,1992-05-04,7.555
8132,1992-05-05,7.522
8131,1992-05-06,7.471
8130,1992-05-07,7.464
8129,1992-05-08,7.408
8128,1992-05-11,7.388
8127,1992-05-12,7.359
8126,1992-05-14,7.352
8125,1992-05-15,7.29
8124,1992-05-18,7.272
8123,1992-05-19,7.2
8122,1992-05-20,7.257
8121,1992-05-21,7.387
8120,1992-05-22,7.345
8119,1992-05-26,7.445
8118,1992-05-27,7.42
8117,1992-05-28,7.358
8116,1992-05-29,7.318
8115,1992-06-01,7.373
8114,1992-06-02,7.338
8113,1992-06-03,7.342
8112,1992-06-04,7.342
8111,1992-06-05,7.304
8110,1992-06-08,7.308
8109,1992-06-09,7.33
8108,1992-06-10,7.353
8107,1992-06-11,7.315
8106,1992-06-12,7.278
8105,1992-06-15,7.274
8104,1992-06-16,7.226
8103,1992-06-17,7.212
8102,1992-06-18,7.184
8101,1992-06-19,7.234
8100,1992-06-22,7.234
8099,1992-06-23,7.23
8098,1992-06-24,7.196
8097,1992-06-25,7.139
8096,1992-06-26,7.145
8095,1992-06-29,7.104
8094,1992-06-30,7.121
8093,1992-07-01,7.082
8092,1992-07-02,6.925
8091,1992-07-06,6.892
8090,1992-07-07,6.847
8089,1992-07-08,6.892
8088,1992-07-09,6.879
8087,1992-07-10,6.917
8086,1992-07-13,6.965
8085,1992-07-14,6.958
8084,1992-07-15,6.876
8083,1992-07-16,6.854
8082,1992-07-17,6.897
8081,1992-07-20,6.893
8080,1992-07-21,6.877
8079,1992-07-22,6.836
8078,1992-07-23,6.704
8077,1992-07-24,6.735
8076,1992-07-27,6.671
8075,1992-07-28,6.616
8074,1992-07-29,6.618
8073,1992-07-30,6.658
8072,1992-07-31,6.709
8071,1992-08-03,6.712
8070,1992-08-04,6.632
8069,1992-08-05,6.604
8068,1992-08-06,6.634
8067,1992-08-07,6.555
8066,1992-08-10,6.503
8065,1992-08-11,6.463
8064,1992-08-12,6.509
8063,1992-08-13,6.573
8062,1992-08-14,6.517
8061,1992-08-17,6.525
8060,1992-08-18,6.476
8059,1992-08-19,6.456
8058,1992-08-20,6.465
8057,1992-08-21,6.519
8056,1992-08-24,6.689
8055,1992-08-25,6.74
8054,1992-08-26,6.652
8053,1992-08-27,6.619
8052,1992-08-28,6.63
8051,1992-08-31,6.604
8050,1992-09-01,6.549
8049,1992-09-02,6.534
8048,1992-09-03,6.521
8047,1992-09-04,6.398
8046,1992-09-08,6.293
8045,1992-09-09,6.335
8044,1992-09-10,6.305
8043,1992-09-11,6.359
8042,1992-09-14,6.307
8041,1992-09-15,6.372
8040,1992-09-16,6.382
8039,1992-09-17,6.387
8038,1992-09-18,6.406
8037,1992-09-21,6.41
8036,1992-09-22,6.51
8035,1992-09-23,6.558
8034,1992-09-24,6.467
8033,1992-09-25,6.406
8032,1992-09-28,6.352
8031,1992-09-29,6.369
8030,1992-09-30,6.354
8029,1992-10-01,6.241
8028,1992-10-02,6.245
8027,1992-10-05,6.23
8026,1992-10-06,6.287
8025,1992-10-07,6.447
8024,1992-10-08,6.397
8023,1992-10-09,6.513
8022,1992-10-13,6.504
8021,1992-10-14,6.497
8020,1992-10-15,6.521
8019,1992-10-16,6.587
8018,1992-10-19,6.694
8017,1992-10-20,6.883
8016,1992-10-21,6.752
8015,1992-10-22,6.756
8014,1992-10-23,6.811
8013,1992-10-26,6.824
8012,1992-10-27,6.759
8011,1992-10-28,6.737
8010,1992-10-29,6.679
8009,1992-10-30,6.789
8008,1992-11-02,6.876
8007,1992-11-03,6.852
8006,1992-11-04,6.87
8005,1992-11-05,6.852
8004,1992-11-06,6.967
8003,1992-11-09,6.973
8002,1992-11-10,6.871
8001,1992-11-12,6.776
8000,1992-11-13,6.817
7999,1992-11-16,6.881
7998,1992-11-17,6.831
7997,1992-11-18,6.763
7996,1992-11-19,6.82
7995,1992-11-20,6.831
7994,1992-11-23,6.849
7993,1992-11-24,6.802
7992,1992-11-25,6.832
7991,1992-11-27,6.914
