Date,Open,High,Low,Close,SMAVG (50)  on Close,SMAVG (100)  on Close,SMAVG (200)  on Close
2024-11-12,4.43,4.464,4.424,4.468,4.509,4.81,5.073
2024-11-08,4.414,4.443,4.414,4.445,4.517,4.818,5.077
2024-11-07,4.422,4.432,4.408,4.416,4.525,4.828,5.081
2024-11-06,4.43,4.443,4.43,4.437,4.534,4.837,5.085
2024-11-05,4.414,4.425,4.414,4.418,4.543,4.846,5.089
2024-11-04,4.433,4.433,4.412,4.421,4.552,4.855,5.093
2024-11-01,4.457,4.457,4.404,4.444,4.563,4.865,5.097
2024-10-31,4.469,4.48,4.456,4.46,4.572,4.874,5.101
2024-10-30,4.478,4.483,4.465,4.478,4.581,4.883,5.104
2024-10-29,4.475,4.486,4.472,4.478,4.591,4.892,5.108
2024-10-28,4.515,4.52,4.488,4.496,4.601,4.901,5.112
2024-10-25,4.486,4.521,4.481,4.526,4.611,4.909,5.115
2024-10-24,4.464,4.493,4.464,4.497,4.62,4.918,5.119
2024-10-23,4.472,4.494,4.472,4.491,4.628,4.927,5.123
2024-10-22,4.467,4.475,4.465,4.472,4.638,4.936,5.127
2024-10-21,4.462,4.496,4.457,4.496,4.648,4.945,5.131
2024-10-18,4.441,4.452,4.439,4.448,4.658,4.954,5.134
2024-10-17,4.427,4.456,4.427,4.452,4.668,4.963,5.139
2024-10-16,4.414,4.427,4.414,4.431,4.677,4.972,5.143
2024-10-15,4.437,4.443,4.43,4.441,4.686,4.982,5.147
2024-10-11,4.446,4.457,4.435,4.45,4.694,4.991,5.151
2024-10-10,4.464,4.467,4.435,4.46,4.706,5,5.155
2024-10-09,4.438,4.465,4.438,4.469,4.718,5.01,5.159
2024-10-08,4.433,4.441,4.433,4.443,4.731,5.018,5.163
2024-10-07,4.499,4.504,4.435,4.446,4.746,5.028,5.168
2024-10-04,4.357,4.452,4.354,4.452,4.76,5.037,5.172
2024-10-03,4.353,4.39,4.348,4.375,4.774,5.046,5.176
2024-10-02,4.367,4.377,4.353,4.364,4.79,5.056,5.181
2024-10-01,4.361,4.367,4.34,4.364,4.805,5.066,5.186
2024-09-30,4.404,4.425,4.382,4.412,4.822,5.076,5.191
2024-09-27,4.396,4.396,4.378,4.39,4.838,5.086,5.195
2024-09-26,4.374,4.403,4.374,4.404,4.854,5.096,5.2
2024-09-25,4.38,4.385,4.367,4.386,4.869,5.105,5.205
2024-09-24,4.409,4.409,4.364,4.371,4.885,5.115,5.21
2024-09-23,4.454,4.47,4.427,4.441,4.901,5.126,5.215
2024-09-20,4.481,4.489,4.454,4.468,4.916,5.135,5.22
2024-09-19,4.483,4.506,4.469,4.476,4.931,5.144,5.225
2024-09-18,4.573,4.61,4.475,4.514,4.947,5.153,5.229
2024-09-17,4.531,4.566,4.518,4.535,4.963,5.162,5.233
2024-09-16,4.57,4.613,4.57,4.597,4.978,5.17,5.238
2024-09-13,4.637,4.645,4.616,4.64,4.992,5.178,5.242
2024-09-12,4.74,4.75,4.705,4.711,5.005,5.185,5.246
2024-09-11,4.671,4.748,4.669,4.747,5.017,5.192,5.25
2024-09-10,4.693,4.695,4.661,4.673,5.029,5.198,5.254
2024-09-09,4.724,4.729,4.713,4.725,5.042,5.205,5.257
2024-09-06,4.719,4.743,4.642,4.722,5.054,5.212,5.261
2024-09-05,4.745,4.772,4.745,4.75,5.067,5.218,5.264
2024-09-04,4.812,4.815,4.756,4.766,5.078,5.224,5.268
2024-09-03,4.861,4.867,4.838,4.843,5.09,5.23,5.271
