,Date,Close
8418,1991-03-12,6.177
8417,1991-03-13,6.08
8416,1991-03-14,6.057
8415,1991-03-15,6.087
8414,1991-03-18,6.118
8413,1991-03-19,6.199
8412,1991-03-20,6.177
8411,1991-03-21,6.144
8410,1991-03-22,6.151
8409,1991-03-25,6.183
8408,1991-03-26,6.113
8407,1991-03-27,6.069
8406,1991-03-28,6.054
8405,1991-04-01,6.042
8404,1991-04-02,6.037
8403,1991-04-03,6.069
8402,1991-04-04,6.046
8401,1991-04-05,5.979
8400,1991-04-08,5.956
8399,1991-04-09,5.95
8398,1991-04-10,5.972
8397,1991-04-11,5.906
8396,1991-04-12,5.86
8395,1991-04-15,5.956
8394,1991-04-16,5.918
8393,1991-04-17,5.875
8392,1991-04-18,6.003
8391,1991-04-19,6.022
8390,1991-04-22,5.989
8389,1991-04-23,6.005
8388,1991-04-24,5.961
8387,1991-04-25,5.949
8386,1991-04-26,5.99
8385,1991-04-29,5.978
8384,1991-04-30,5.821
8383,1991-05-01,5.832
8382,1991-05-02,5.82
8381,1991-05-03,5.817
8380,1991-05-06,5.838
8379,1991-05-07,5.897
8378,1991-05-08,5.897
8377,1991-05-09,5.863
8376,1991-05-10,5.86
8375,1991-05-13,5.849
8374,1991-05-14,5.864
8373,1991-05-15,5.843
8372,1991-05-16,5.842
8371,1991-05-17,5.817
8370,1991-05-20,5.87
8369,1991-05-21,5.919
8368,1991-05-22,5.907
8367,1991-05-23,5.874
8366,1991-05-24,5.87
8365,1991-05-30,5.875
8364,1991-05-31,5.937
8363,1991-06-03,6.011
8362,1991-06-04,5.972
8361,1991-06-05,5.983
8360,1991-06-06,5.983
8359,1991-06-07,6.0
8358,1991-06-10,6.021
8357,1991-06-11,6.047
8356,1991-06-12,6.069
8355,1991-06-13,6.068
8354,1991-06-14,6.043
8353,1991-06-17,6.096
8352,1991-06-18,6.07
8351,1991-06-19,6.015
8350,1991-06-20,5.993
8349,1991-06-21,6.011
8348,1991-06-24,6.021
8347,1991-06-25,6.026
8346,1991-06-26,6.015
8345,1991-06-27,5.993
8344,1991-06-28,5.936
8343,1991-07-01,5.967
8342,1991-07-02,5.982
8341,1991-07-03,5.939
8340,1991-07-05,5.957
8339,1991-07-08,5.913
8338,1991-07-09,5.972
8337,1991-07-10,5.94
8336,1991-07-11,5.949
8335,1991-07-12,5.947
8334,1991-07-15,5.956
8333,1991-07-16,5.994
8332,1991-07-17,6.015
8331,1991-07-18,5.993
8330,1991-07-19,5.99
8329,1991-07-22,5.999
8328,1991-07-23,6.004
8327,1991-07-24,5.961
8326,1991-07-25,5.96
8325,1991-07-26,5.947
8324,1991-07-29,5.946
8323,1991-07-30,5.821
8322,1991-07-31,5.8
8321,1991-08-01,5.928
8320,1991-08-02,5.807
8319,1991-08-05,5.827
8318,1991-08-06,5.714
8317,1991-08-07,5.692
8316,1991-08-08,5.659
8315,1991-08-09,5.613
8314,1991-08-12,5.634
8313,1991-08-13,5.628
8312,1991-08-14,5.585
8311,1991-08-15,5.573
8310,1991-08-16,5.517
8309,1991-08-19,5.409
8308,1991-08-20,5.37
8307,1991-08-21,5.52
8306,1991-08-22,5.541
8305,1991-08-23,5.699
8304,1991-08-26,5.72
8303,1991-08-27,5.72
8302,1991-08-28,5.542
8301,1991-08-29,5.519
8300,1991-08-30,5.591
8299,1991-09-03,5.601
8298,1991-09-04,5.595
8297,1991-09-05,5.605
8296,1991-09-06,5.56
8295,1991-09-09,5.516
8294,1991-09-10,5.489
8293,1991-09-11,5.488
8292,1991-09-12,5.423
8291,1991-09-13,5.42
8290,1991-09-16,5.441
8289,1991-09-17,5.456
8288,1991-09-18,5.445
8287,1991-09-19,5.476
8286,1991-09-20,5.463
8285,1991-09-23,5.463
8284,1991-09-24,5.456
8283,1991-09-25,5.434
8282,1991-09-26,5.391
8281,1991-09-27,5.346
8280,1991-09-30,5.323
8279,1991-10-01,5.349
8278,1991-10-02,5.359
8277,1991-10-03,5.284
8276,1991-10-04,5.271
8275,1991-10-07,5.281
8274,1991-10-08,5.264
8273,1991-10-09,5.263
8272,1991-10-10,5.284
8271,1991-10-11,5.227
8270,1991-10-15,5.205
8269,1991-10-16,5.209
8268,1991-10-17,5.262
8267,1991-10-18,5.26
8266,1991-10-21,5.345
8265,1991-10-22,5.349
8264,1991-10-24,5.262
8263,1991-10-25,5.239
8262,1991-10-28,5.227
8261,1991-10-29,5.124
8260,1991-10-30,5.038
8259,1991-10-31,5.027
8258,1991-11-01,4.972
8257,1991-11-04,4.982
8256,1991-11-05,5.007
8255,1991-11-06,4.878
8254,1991-11-07,4.878
8253,1991-11-08,4.875
8252,1991-11-12,4.885
8251,1991-11-13,4.878
8250,1991-11-14,4.856
8249,1991-11-15,4.759
8248,1991-11-18,4.811
8247,1991-11-19,4.761
8246,1991-11-20,4.729
8245,1991-11-21,4.675
8244,1991-11-22,4.663
8243,1991-11-25,4.673
8242,1991-11-26,4.622
8241,1991-11-27,4.611
8240,1991-11-29,4.578
8239,1991-12-02,4.588
8238,1991-12-03,4.506
8237,1991-12-04,4.463
8236,1991-12-05,4.516
8235,1991-12-06,4.387
8234,1991-12-09,4.291
8233,1991-12-10,4.357
8232,1991-12-11,4.304
8231,1991-12-12,4.314
8230,1991-12-13,4.323
8229,1991-12-16,4.323
8228,1991-12-17,4.315
8227,1991-12-18,4.336
8226,1991-12-19,4.282
8225,1991-12-20,3.953
8224,1991-12-23,4.005
8223,1991-12-24,4.018
8222,1991-12-26,4.039
8221,1991-12-27,4.027
8220,1991-12-30,3.995
8219,1991-12-31,4.007
8218,1992-01-02,3.996
8217,1992-01-03,4.006
8216,1992-01-06,3.974
8215,1992-01-07,3.923
8214,1992-01-08,3.891
8213,1992-01-09,3.955
8212,1992-01-10,4.005
8211,1992-01-13,3.995
8210,1992-01-14,3.997
8209,1992-01-15,4.05
8208,1992-01-16,4.018
8207,1992-01-17,4.016
8206,1992-01-21,3.963
8205,1992-01-22,3.955
8204,1992-01-23,3.996
8203,1992-01-24,4.059
8202,1992-01-27,4.079
8201,1992-01-28,4.05
8200,1992-01-29,4.06
8199,1992-01-30,4.092
8198,1992-01-31,4.059
8197,1992-02-03,4.058
8196,1992-02-04,4.039
8195,1992-02-05,4.018
8194,1992-02-06,4.007
8193,1992-02-07,3.911
8192,1992-02-10,3.921
8191,1992-02-11,3.965
8190,1992-02-12,3.965
8189,1992-02-13,4.028
8188,1992-02-14,4.037
8187,1992-02-18,4.058
8186,1992-02-19,4.103
8185,1992-02-20,4.155
8184,1992-02-21,4.196
8183,1992-02-24,4.206
8182,1992-02-25,4.251
8181,1992-02-26,4.156
8180,1992-02-27,4.123
8179,1992-02-28,4.121
8178,1992-03-02,4.258
8177,1992-03-03,4.261
8176,1992-03-04,4.261
8175,1992-03-05,4.313
8174,1992-03-06,4.29
8173,1992-03-09,4.269
8172,1992-03-10,4.303
8171,1992-03-11,4.303
8170,1992-03-12,4.323
8169,1992-03-13,4.364
8168,1992-03-16,4.385
8167,1992-03-17,4.387
8166,1992-03-18,4.398
8165,1992-03-19,4.355
8164,1992-03-20,4.385
8163,1992-03-23,4.395
8162,1992-03-24,4.345
8161,1992-03-25,4.303
8160,1992-03-26,4.302
8159,1992-03-27,4.28
8158,1992-03-30,4.258
8157,1992-03-31,4.324
8156,1992-04-01,4.239
8155,1992-04-02,4.26
8154,1992-04-03,4.163
8153,1992-04-06,4.163
8152,1992-04-07,4.081
8151,1992-04-08,4.081
8150,1992-04-09,3.87
8149,1992-04-10,3.879
8148,1992-04-13,3.836
8147,1992-04-14,3.849
8146,1992-04-15,3.849
8145,1992-04-16,3.901
8144,1992-04-20,3.973
8143,1992-04-21,3.995
8142,1992-04-22,3.975
8141,1992-04-23,3.964
8140,1992-04-24,3.932
8139,1992-04-27,3.994
8138,1992-04-28,3.954
8137,1992-04-29,3.965
8136,1992-04-30,3.964
8135,1992-05-01,3.889
8134,1992-05-04,3.878
8133,1992-05-05,3.891
8132,1992-05-06,3.849
8131,1992-05-07,3.817
8130,1992-05-08,3.868
8129,1992-05-11,3.857
8128,1992-05-12,3.849
8127,1992-05-14,3.817
8126,1992-05-15,3.805
8125,1992-05-18,3.805
8124,1992-05-19,3.723
8123,1992-05-20,3.807
8122,1992-05-21,3.922
8121,1992-05-22,3.9
8120,1992-05-26,3.983
8119,1992-05-27,3.955
8118,1992-05-28,3.944
8117,1992-05-29,3.953
8116,1992-06-01,4.005
8115,1992-06-02,3.997
8114,1992-06-03,3.975
8113,1992-06-04,3.975
8112,1992-06-05,3.932
8111,1992-06-08,3.921
8110,1992-06-09,3.933
8109,1992-06-10,3.944
8108,1992-06-11,3.901
8107,1992-06-12,3.871
8106,1992-06-15,3.868
8105,1992-06-16,3.86
8104,1992-06-17,3.817
8103,1992-06-18,3.817
8102,1992-06-19,3.879
8101,1992-06-22,3.889
8100,1992-06-23,3.912
8099,1992-06-24,3.849
8098,1992-06-25,3.828
8097,1992-06-26,3.826
8096,1992-06-29,3.773
8095,1992-06-30,3.775
8094,1992-07-01,3.375
8093,1992-07-02,3.427
8092,1992-07-06,3.406
8091,1992-07-07,3.366
8090,1992-07-08,3.387
8089,1992-07-09,3.365
8088,1992-07-10,3.364
8087,1992-07-13,3.364
8086,1992-07-14,3.376
8085,1992-07-15,3.313
8084,1992-07-16,3.313
8083,1992-07-17,3.302
8082,1992-07-20,3.343
8081,1992-07-21,3.355
8080,1992-07-22,3.324
8079,1992-07-23,3.334
8078,1992-07-24,3.333
8077,1992-07-27,3.375
8076,1992-07-28,3.355
8075,1992-07-29,3.355
8074,1992-07-30,3.355
8073,1992-07-31,3.375
8072,1992-08-03,3.355
8071,1992-08-04,3.355
8070,1992-08-05,3.345
8069,1992-08-06,3.334
8068,1992-08-07,3.281
8067,1992-08-10,3.28
8066,1992-08-11,3.292
8065,1992-08-12,3.292
8064,1992-08-13,3.271
8063,1992-08-14,3.249
8062,1992-08-17,3.259
8061,1992-08-18,3.229
8060,1992-08-19,3.229
8059,1992-08-20,3.24
8058,1992-08-21,3.26
8057,1992-08-24,3.354
8056,1992-08-25,3.366
8055,1992-08-26,3.324
8054,1992-08-27,3.323
8053,1992-08-28,3.333
8052,1992-08-31,3.333
8051,1992-09-01,3.313
8050,1992-09-02,3.313
8049,1992-09-03,3.292
8048,1992-09-04,3.04
8047,1992-09-08,3.019
8046,1992-09-09,3.031
8045,1992-09-10,3.02
8044,1992-09-11,3.03
8043,1992-09-14,2.977
8042,1992-09-15,3.01
8041,1992-09-16,2.989
8040,1992-09-17,2.999
8039,1992-09-18,2.967
8038,1992-09-21,3.019
8037,1992-09-22,3.041
8036,1992-09-23,3.052
8035,1992-09-24,3.01
8034,1992-09-25,2.936
8033,1992-09-28,2.925
8032,1992-09-29,2.937
8031,1992-09-30,2.906
8030,1992-10-01,2.832
8029,1992-10-02,2.852
8028,1992-10-05,2.873
8027,1992-10-06,2.927
8026,1992-10-07,2.999
8025,1992-10-08,2.978
8024,1992-10-09,3.04
8023,1992-10-13,3.092
8022,1992-10-14,3.104
8021,1992-10-15,3.104
8020,1992-10-16,3.113
8019,1992-10-19,3.186
8018,1992-10-20,3.345
8017,1992-10-21,3.229
8016,1992-10-22,3.25
8015,1992-10-23,3.291
8014,1992-10-26,3.301
8013,1992-10-27,3.292
8012,1992-10-28,3.282
8011,1992-10-29,3.261
8010,1992-10-30,3.281
8009,1992-11-03,3.324
8008,1992-11-04,3.303
8007,1992-11-05,3.282
8006,1992-11-06,3.354
8005,1992-11-09,3.406
8004,1992-11-10,3.366
8003,1992-11-12,3.376
8002,1992-11-13,3.438
8001,1992-11-16,3.458
8000,1992-11-17,3.481
7999,1992-11-18,3.439
7998,1992-11-19,3.449
7997,1992-11-20,3.501
7996,1992-11-23,3.532
7995,1992-11-24,3.512
7994,1992-11-25,3.533
7993,1992-11-27,3.564
7992,1992-11-30,3.584
7991,1992-12-01,3.597
7990,1992-12-02,3.565
7989,1992-12-03,3.554
7988,1992-12-04,3.469
7987,1992-12-07,3.448
7986,1992-12-08,3.439
7985,1992-12-09,3.45
7984,1992-12-10,3.46
7983,1992-12-11,3.511
7982,1992-12-14,3.511
7981,1992-12-15,3.502
7980,1992-12-16,3.45
7979,1992-12-17,3.47
7978,1992-12-18,3.427
7977,1992-12-21,3.427
7976,1992-12-22,3.408
7975,1992-12-23,3.408
7974,1992-12-24,3.396
7973,1992-12-28,3.448
7972,1992-12-29,3.45
7971,1992-12-30,3.334
7970,1992-12-31,3.375
7969,1993-01-04,3.354
7968,1993-01-05,3.354
7967,1993-01-06,3.345
